身高,体重,肺活量,50米跑,立定跳远,坐位体前屈,800米跑
162.2,48.3,2549,9.3,160,17.5,"4'05"""
164.4,53.4,3303,8.41,180,16,"4'05"""
176.9,62.2,3879,8.98,178,11.9,"3'56"""
167.8,50.5,3196,8.22,180,16.6,"3'31"""
160.3,53.3,2649,8.52,172,9.6,"3'19"""
162.1,57.3,2700,7.91,180,16.2,"3'14"""
164.7,53.5,2931,8.97,166,22.8,"3'51"""
161.1,51,2533,9.09,148,15.2,"3'48"""
152.6,46.4,2522,9.02,155,16.9,"4'08"""
152.6,53.8,2908,9.44,164,27.1,"4'22"""
154.9,40.4,2267,8.68,173,27.8,"3'40"""
168.6,54.9,1640,8.82,164,26.9,"3'18"""
147.2,38.2,2446,8.39,168,16.2,"3'38"""
166.2,51.3,3370,7.97,213,11.7,"3'03"""
155.4,61.6,2563,8.72,173,16.2,"3'47"""
143.5,50.3,2349,9.81,145,17.5,"4'12"""
163.9,49.8,2658,9.83,172,10.6,"4'05"""
162.1,49.9,3154,8.82,161,17.9,"4'13"""
159.3,51,2995,8.69,170,11.8,"4'00"""
158.7,43.8,2138,8.77,168,19.2,"3'32"""
157.7,48.6,2649,8.72,190,22.2,"3'29"""
160.2,40.6,2673,8.5,155,23,"4'07"""
160.5,58.3,2841,9.11,162,18.7,"4'03"""
162.9,52.3,3362,7.93,210,21.6,"3'11"""
161.6,47.8,3249,8,190,17,"3'15"""
157.6,48.9,2841,8.56,170,8.9,"3'57"""
162.9,56.3,2882,8.59,175,23.5,"4'13"""
163.5,50.8,2628,8.83,184,25.5,"3'34"""
158,45.4,2768,8.5,180,9.7,"3'42"""
164.2,46.7,2680,8.02,194,13.8,"3'27"""
154.7,47.7,2541,9.21,163,16.7,"3'52"""
156.3,52.1,2860,8.51,162,27.1,"4'23"""
160.3,50.2,2898,8.35,175,19,"3'37"""
153.2,45.2,3139,8.38,166,19.8,"3'56"""
171.4,58,3184,8.96,153,10,"3'33"""
157,48.7,2357,8.8,170,23.4,"3'49"""
162.5,75.2,3294,10.14,155,15.9,"4'28"""
157.1,54.6,2633,9.4,155,14.1,"4'21"""
163.7,52.6,3474,8.6,190,19.1,"3'36"""
158.7,50.3,2816,9.07,175,20.2,"4'01"""
161.3,55.9,2874,8.74,173,23.5,"4'03"""
159.9,48,2845,8.68,175,13.7,"3'57"""
159.9,55.3,2989,8.83,176,14.5,"3'36"""
150.5,59.9,2383,9.77,175,25.7,"4'22"""
170.8,52.9,3117,8.94,173,27.3,"4'03"""
154.6,43.6,2578,9.4,152,10.1,"4'00"""
166.8,54.4,2821,9.33,151,25.5,"4'09"""
159.3,56.5,3157,8.67,182,11.5,"4'08"""
161.8,64.7,3177,9.53,155,18.9,"4'25"""
165,53.9,2898,7.52,210,21.5,"3'19"""
164.4,45.7,2771,9.51,165,21.2,"4'07"""
164.9,52.1,2689,8.01,175,11.1,"4'09"""
163.8,54.8,3521,9.03,160,20.1,"3'45"""
157.2,49.1,3196,9.18,180,29.4,"3'40"""
159.6,50.6,2276,9.06,165,14.9,"3'24"""
160.9,44.7,2199,9.77,152,23.2,"3'37"""
162.6,54.1,2699,8.74,165,12.3,"3'36"""
155.1,53.7,2395,9.35,160,24.6,"3'57"""
163.1,53.4,2527,8.4,168,7.8,"4'25"""
165.7,58.5,3571,9.47,155,17.5,"4'12"""
157.2,48.5,2510,8.78,170,13.3,"3'09"""
155.4,57.7,3057,8.57,178,21.6,"3'56"""
160.9,49.9,2778,8.86,176,16.4,"3'50"""
157.7,53.1,2893,9.74,158,17.4,"4'08"""
162.3,64.1,3073,9.21,151,11.4,"4'08"""
160.4,45.1,2084,8.32,178,13.6,"3'57"""
156.1,45.5,2522,8.77,160,14.9,"3'31"""
163.9,50.5,2620,8.42,195,19.1,"3'37"""
163.5,62.6,2898,8.19,170,12.6,"3'24"""
156.6,54.5,2936,8.96,270,21,"4'18"""
166,52,2696,9.58,160,15,"3'40"""
173.6,58.8,3012,7.73,194,-7.1,"3'27"""
166.4,63.1,3396,9.17,180,15.6,"3'46"""
153.9,41.1,2356,9.11,163,17.7,"3'54"""
157.3,47.9,3122,8.78,195,17.2,"3'51"""
